process,systematic,variation,bin,edge_lo,edge_hi,value
Other,Higgs_CMS_eff_e_reco_above75,Up,14,0.013643487834444395,0.022087249077993153,0.6905814326556664
Other,Higgs_CMS_eff_e_reco_above75,Up,15,0.022087249077993153,0.04393358703334,2.4879019720689177
Other,Higgs_CMS_eff_e_reco_above75,Up,16,0.04393358703334,0.10073404070562539,5.499482620356182
Other,Higgs_CMS_eff_e_reco_above75,Up,17,0.10073404070562539,0.23767632438315117,8.869540898356206
Other,Higgs_CMS_eff_e_reco_above75,Up,18,0.23767632438315117,0.4957539730742803,13.87787658903773
Other,Higgs_CMS_eff_e_reco_above75,Up,19,0.4957539730742803,1.0,22.968892451116453
Other,Higgs_CMS_eff_e_reco_below20,Down,0,0.0,0.0009567917389306952,0.02038420086716985
Other,Higgs_CMS_eff_e_reco_below20,Down,1,0.0009567917389306952,0.0011761846848516988,0.022876970737762885
Other,Higgs_CMS_eff_e_reco_below20,Down,2,0.0011761846848516988,0.0014056492364034057,0.027351330127683503
Other,Higgs_CMS_eff_e_reco_below20,Down,3,0.0014056492364034057,0.0016879615058736856,0.030951864700714454
Other,Higgs_CMS_eff_e_reco_below20,Down,4,0.0016879615058736856,0.002029518495153339,0.0353254993051591
Other,Higgs_CMS_eff_e_reco_below20,Down,5,0.002029518495153339,0.0024498090280613213,0.04730785905007412
Other,Higgs_CMS_eff_e_reco_below20,Down,6,0.0024498090280613213,0.0029563838476912704,0.057881736539204476
Other,Higgs_CMS_eff_e_reco_below20,Down,7,0.0029563838476912704,0.003557510286689314,0.06408555186306078
Other,Higgs_CMS_eff_e_reco_below20,Down,8,0.003557510286689314,0.004267894997991053,0.07186857100516769
Other,Higgs_CMS_eff_e_reco_below20,Down,9,0.004267894997991053,0.0050779368864586815,0.0774955012625968
Other,Higgs_CMS_eff_e_reco_below20,Down,10,0.0050779368864586815,0.006105206239196243,0.07990119522130718
Other,Higgs_CMS_eff_e_reco_below20,Down,11,0.006105206239196243,0.007522517248260182,0.09202936273459006
Other,Higgs_CMS_eff_e_reco_below20,Down,12,0.007522517248260182,0.009719243336259968,0.1129037142843552
Other,Higgs_CMS_eff_e_reco_below20,Down,13,0.009719243336259968,0.013643487834444395,0.19773945322714293
Other,Higgs_CMS_eff_e_reco_below20,Down,14,0.013643487834444395,0.022087249077993153,0.6607090409775334
Other,Higgs_CMS_eff_e_reco_below20,Down,15,0.022087249077993153,0.04393358703334,2.381383086733789
Other,Higgs_CMS_eff_e_reco_below20,Down,16,0.04393358703334,0.10073404070562539,5.272034899208862
Other,Higgs_CMS_eff_e_reco_below20,Down,17,0.10073404070562539,0.23767632438315117,8.49224010676095
Other,Higgs_CMS_eff_e_reco_below20,Down,18,0.23767632438315117,0.4957539730742803,13.290007108569885
Other,Higgs_CMS_eff_e_reco_below20,Down,19,0.4957539730742803,1.0,22.100327022942814
Other,Higgs_CMS_eff_e_reco_below20,Up,0,0.0,0.0009567917389306952,0.02067533993116912
Other,Higgs_CMS_eff_e_reco_below20,Up,1,0.0009567917389306952,0.0011761846848516988,0.023370328005177302
Other,Higgs_CMS_eff_e_reco_below20,Up,2,0.0011761846848516988,0.0014056492364034057,0.02836899907159921
Other,Higgs_CMS_eff_e_reco_below20,Up,3,0.0014056492364034057,0.0016879615058736856,0.03244067800275069
Other,Higgs_CMS_eff_e_reco_below20,Up,4,0.0016879615058736856,0.002029518495153339,0.037858878277168245
Other,Higgs_CMS_eff_e_reco_below20,Up,5,0.002029518495153339,0.0024498090280613213,0.05008137439773039
